Tiempo desde erupcion (d);Magnitud;error (mag);Banda
2,06935;7,687;0,001;V
2,07278;7,685;0,001;V
2,07706;7,683;0,001;V
2,07947;7,694;0,001;V
2,0822;7,693;0,001;V
2,08633;7,682;0,001;V
2,08953;7,724;0,001;V
2,08956;7,674;0,009;V
2,09233;7,72;0,001;V
2,09505;7,712;0,001;V
2,09875;7,742;0,001;V
2,10168;7,729;0,001;V
2,10416;7,707;0,001;V
2,10667;7,708;0,001;V
2,10875;7,706;0,001;V
2,11041;7,715;0,001;V
2,11328;7,72;0,001;V
2,11497;7,721;0,001;V
2,11673;7,718;0,001;V
2,11848;7,735;0,001;V
2,12024;7,683;0,001;V
2,12202;7,721;0,001;V
2,12383;7,715;0,001;V
2,12552;7,728;0,001;V
2,12728;7,707;0,001;V
2,12904;7,737;0,001;V
2,13081;7,715;0,001;V
2,13256;7,721;0,001;V
2,13443;7,741;0,001;V
2,13608;7,719;0,001;V
2,13783;7,734;0,001;V
2,13958;7,735;0,001;V
2,14134;7,726;0,001;V
2,1431;7,749;0,001;V
2,1457;7,749;0,001;V
2,14736;7,746;0,001;V
2,1491;7,754;0,001;V
2,15085;7,74;0,001;V
2,15261;7,765;0,001;V
2,1552;7,75;0,001;V
2,15683;7,739;0,001;V
2,15859;7,752;0,001;V
2,16037;7,736;0,001;V
2,16211;7,759;0,001;V
2,16505;7,754;0,001;V
2,16844;7,761;0,001;V
2,17022;7,772;0,001;V
2,17196;7,762;0,001;V
2,17372;7,753;0,001;V
2,17612;7,747;0,001;V
2,17794;7,747;0,001;V
2,1797;7,742;0,001;V
2,18146;7,745;0,001;V
2,18377;7,764;0,001;V
2,225574;7,796;0,105;V
2,506697;7,956;0,011;V
2,507067;7,88;0,011;V
2,507437;7,91;0,011;V
2,507819;7,992;0,011;V
2,508178;7,986;0,011;V
2,508549;7,974;0,011;V
2,508919;7,917;0,011;V
2,509301;7,893;0,011;V
2,50966;7,927;0,011;V
2,51003;7,899;0,011;V
2,510412;7,904;0,011;V
2,510782;7,924;0,011;V
2,511153;7,893;0,011;V
2,511535;7,897;0,011;V
2,511917;7,933;0,011;V
2,512299;7,951;0,011;V
2,512669;7,902;0,011;V
2,513051;7,927;0,011;V
2,513421;7,884;0,011;V
2,513803;7,946;0,011;V
2,514162;7,934;0,011;V
2,514532;7,899;0,011;V
2,514914;7,963;0,011;V
2,515273;7,902;0,011;V
2,515643;7,875;0,011;V
2,516014;7,95;0,011;V
2,516384;8,042;0,011;V
2,516766;7,936;0,011;V
2,517137;7,883;0,011;V
2,517518;7,897;0,011;V
2,517889;7,899;0,011;V
2,518271;8,04;0,011;V
2,518641;7,979;0,01;V
2,519023;7,946;0,011;V
2,519393;7,919;0,011;V
2,519775;7,939;0,011;V
2,520146;7,911;0,011;V
2,520528;7,994;0,011;V
2,520898;7,939;0,011;V
2,52128;7,981;0,011;V
2,521662;7,956;0,011;V
2,522032;7,979;0,011;V
2,522414;7,956;0,011;V
2,522785;7,935;0,011;V
2,523167;7,998;0,011;V
2,523525;7,947;0,011;V
2,523907;7,982;0,011;V
2,524278;7,964;0,011;V
2,52466;8,029;0,011;V
2,525018;7,977;0,011;V
2,5254;7,99;0,01;V
2,525759;7,947;0,011;V
2,526141;7,979;0,01;V
2,526512;7,91;0,011;V
2,526893;7,987;0,011;V
2,527264;8,013;0,011;V
2,527646;7,966;0,011;V
2,528028;7,963;0,01;V
2,52878;7,994;0,01;V
2,52915;7,987;0,011;V
2,529532;7,999;0,011;V
2,529914;7,964;0,01;V
2,530273;7,934;0,01;V
2,530655;7,975;0,01;V
2,531037;8,016;0,01;V
2,531396;7,953;0,011;V
2,531778;7,943;0,011;V
2,532148;8,005;0,01;V
2,532518;7,966;0,011;V
2,5329;8,022;0,011;V
2,533271;7,949;0,011;V
2,533641;8;0,01;V
2,534023;7,978;0,011;V
2,534405;8,018;0,01;V
2,534764;7,977;0,011;V
2,535146;8,019;0,01;V
2,535528;7,966;0,01;V
2,535898;8,032;0,01;V
2,53628;8,032;0,01;V
2,536662;7,994;0,011;V
2,537021;8,009;0,01;V
2,537403;7,931;0,011;V
2,537785;7,996;0,01;V
2,538167;7,982;0,01;V
2,538525;7,967;0,011;V
2,538907;7,998;0,01;V
2,539301;7,958;0,01;V
2,53966;7,978;0,01;V
2,540042;7,999;0,01;V
2,540424;7,975;0,01;V
2,540794;7,98;0,01;V
2,541164;8,041;0,01;V
2,541546;7,989;0,01;V
2,541928;8,002;0,01;V
2,542299;7,995;0,01;V
2,542681;8,035;0,01;V
2,543039;7,967;0,01;V
2,543421;8,024;0,01;V
2,543803;7,975;0,01;V
2,544185;8,002;0,01;V
2,544544;8,004;0,01;V
2,544926;7,981;0,01;V
2,545308;7,965;0,01;V
2,54569;8,011;0,011;V
2,546072;8,055;0,01;V
2,546454;7,99;0,01;V
2,546824;7,969;0,01;V
2,547565;7,971;0,01;V
2,547947;7,994;0,01;V
2,548329;8,018;0,01;V
2,548711;7,968;0,01;V
2,549093;7,999;0,01;V
2,549474;7,992;0,01;V
2,549856;7,999;0,01;V
2,550215;8,032;0,01;V
2,550597;7,975;0,01;V
2,550979;8,027;0,01;V
2,551361;7,999;0,01;V
2,551743;7,987;0,01;V
2,552113;7,954;0,01;V
2,552484;7,982;0,01;V
2,552843;7,974;0,01;V
2,553224;8,097;0,01;V
2,553606;7,986;0,01;V
2,553988;7,985;0,01;V
2,55437;8,016;0,01;V
2,554752;7,974;0,01;V
2,555134;8,02;0,01;V
2,555516;7,988;0,01;V
2,555898;8,02;0,01;V
2,55628;8,001;0,01;V
2,556662;8,023;0,01;V
2,557044;7,989;0,01;V
2,557426;8,037;0,01;V
2,557808;8,092;0,01;V
2,55819;8,04;0,01;V
2,558572;8,044;0,01;V
2,558954;8,08;0,01;V
2,559336;8,031;0,01;V
2,559718;7,99;0,01;V
2,560099;7,989;0,01;V
2,560481;8,002;0,01;V
2,560863;8,014;0,01;V
2,561245;8,017;0,01;V
2,561627;8,028;0,01;V
2,562009;8,023;0,01;V
2,562391;8,033;0,01;V
2,562762;8,024;0,01;V
2,563873;8,054;0,01;V
2,564243;7,996;0,01;V
2,564625;8,012;0,01;V
2,565007;8,031;0,01;V
2,565389;7,981;0,01;V
2,565771;7,992;0,01;V
2,566164;8,023;0,01;V
2,566535;8,033;0,01;V
2,566905;8,066;0,01;V
2,567646;8;0,01;V
2,568028;7,997;0,01;V
2,56841;8,024;0,01;V
2,568803;8,038;0,01;V
2,568948;8,643;0,01;V
2,569174;8,079;0,01;V
2,569544;7,981;0,01;V
2,569914;7,987;0,01;V
2,570296;7,972;0,01;V
2,570678;8,018;0,01;V
2,57106;8,067;0,01;V
2,571442;8,008;0,01;V
2,571824;8,033;0,01;V
2,572194;8,029;0,01;V
2,572565;7,993;0,011;V
2,572947;7,997;0,011;V
2,573329;8,002;0,011;V
2,573722;8,093;0,01;V
2,574093;7,987;0,01;V
2,574463;8,01;0,01;V
2,574856;8,179;0,01;V
2,575262;8,026;0,01;V
2,575667;8,079;0,01;V
2,57606;7,977;0,01;V
2,576465;7,99;0,01;V
2,57687;7,986;0,01;V
2,577264;8,075;0,01;V
2,577657;8,091;0,01;V
2,578456;8,024;0,01;V
2,578861;8,056;0,01;V
2,579255;8,148;0,011;V
2,57966;8,022;0,01;V
2,580065;7,984;0,01;V
2,58047;8,025;0,01;V
2,580875;8,041;0,01;V
2,58128;8,063;0,01;V
2,581674;8,092;0,01;V
2,582067;8,096;0,01;V
2,582461;8,027;0,01;V
2,582866;8,159;0,01;V
2,583271;7,968;0,011;V
2,583676;8,038;0,01;V
2,584081;8,077;0,01;V
2,584498;8,005;0,01;V
2,584903;8,048;0,01;V
2,585308;8,081;0,01;V
2,585701;8,038;0,01;V
2,586095;8,075;0,01;V
2,586488;8,028;0,01;V
2,586882;8,069;0,01;V
2,587275;8,007;0,01;V
2,587669;8,038;0,01;V
2,588074;8,058;0,01;V
2,588491;8,059;0,01;V
2,588896;8,098;0,01;V
2,589301;8,028;0,01;V
2,589694;8,03;0,01;V
2,590099;8,002;0,01;V
2,590505;8,054;0,01;V
2,590921;8,048;0,01;V
2,591326;8,02;0,01;V
2,59172;8,018;0,01;V
2,592125;8,07;0,01;V
2,59253;8,027;0,01;V
2,592947;8,009;0,01;V
2,59334;8,025;0,01;V
2,593757;8,025;0,01;V
2,594162;8,081;0,01;V
2,594579;8,001;0,01;V
2,594984;8,016;0,01;V
2,595389;8,01;0,01;V
2,595782;8,078;0,01;V
2,606679;8,072;0,007;V
2,607084;8,061;0,006;V
2,607501;8,111;0,007;V
2,608925;8,087;0,006;V
2,609399;8,077;0,006;V
2,609862;8,053;0,006;V
2,610337;8,071;0,006;V
2,610811;8,087;0,006;V
2,611286;8,108;0,007;V
2,611749;8,092;0,006;V
2,612212;8,068;0,006;V
2,612686;8,059;0,006;V
2,613149;8,123;0,007;V
2,613612;8,092;0,006;V
2,614075;8,117;0,006;V
2,61455;8,131;0,006;V
2,615013;8,097;0,006;V
2,615487;8,072;0,006;V
2,615973;8,061;0,007;V
2,616436;8,128;0,007;V
2,616911;8,11;0,006;V
2,617397;8,16;0,007;V
2,617871;8,107;0,007;V
2,618334;8,039;0,006;V
2,618809;8,133;0,006;V
2,619272;8,091;0,007;V
2,619746;8,064;0,007;V
2,620209;8,048;0,007;V
2,620684;8,087;0,007;V
2,621147;8,09;0,006;V
2,62161;8,103;0,007;V
2,622073;8,108;0,006;V
2,622559;8,102;0,006;V
2,623034;8,07;0,006;V
2,623496;8,11;0,007;V
2,623971;8,118;0,006;V
2,624434;8,112;0,007;V
2,624897;8,082;0,006;V
2,62536;8,092;0,006;V
2,625823;8,019;0,007;V
2,626274;8,074;0,006;V
2,626737;8,062;0,006;V
2,627189;8,099;0,006;V
2,62764;8,043;0,007;V
2,628115;8,118;0,006;V
2,628589;8,088;0,006;V
2,629064;8,099;0,006;V
2,629527;8,112;0,007;V
2,630001;8,106;0,007;V
2,630464;8,118;0,006;V
2,630927;8,112;0,006;V
2,63139;8,091;0,007;V
2,631841;8,095;0,007;V
2,632293;8,102;0,006;V
2,632744;8,116;0,006;V
2,633207;8,108;0,006;V
2,63367;8,12;0,007;V
2,634156;8,093;0,007;V
2,634619;8,081;0,006;V
2,635071;8,108;0,006;V
2,635534;8,109;0,006;V
2,636008;8,116;0,006;V
2,636471;8,103;0,006;V
2,636946;8,102;0,006;V
2,637397;8,12;0,006;V
2,63786;8,103;0,006;V
2,638346;8,111;0,006;V
2,638809;8,112;0,007;V
2,63926;8,122;0,007;V
2,639723;8,096;0,006;V
2,640198;8,095;0,007;V
2,640672;8,14;0,006;V
2,641135;8,131;0,007;V
2,64161;8,11;0,007;V
2,642061;8,146;0,006;V
2,642536;8,097;0,006;V
2,642999;8,135;0,006;V
2,643462;8,131;0,006;V
2,643936;8,107;0,006;V
2,644411;8,114;0,006;V
2,644874;8,132;0,006;V
2,645325;8,135;0,007;V
2,6458;8,094;0,006;V
2,646263;8,151;0,006;V
2,646714;8,141;0,006;V
2,647177;8,106;0,006;V
2,647663;8,126;0,006;V
2,648126;8,107;0,006;V
2,648589;8,123;0,006;V
2,649064;8,117;0,006;V
2,649527;8,121;0,006;V
2,64999;8,072;0,006;V
2,650464;8,123;0,006;V
2,650927;8,125;0,006;V
2,65139;8,156;0,006;V
2,651853;8,093;0,006;V
2,652304;8,118;0,006;V
2,652779;8,13;0,006;V
2,653253;8,127;0,006;V
2,653716;8,127;0,006;V
2,654191;8,117;0,006;V
2,654665;8,127;0,006;V
2,65514;8,137;0,007;V
2,655603;8,142;0,006;V
2,656066;8,143;0,007;V
2,656529;8,132;0,006;V
2,657003;8,153;0,006;V
2,657466;8,148;0,006;V
2,657918;8,115;0,006;V
2,658392;8,106;0,006;V
2,658844;8,136;0,007;V
2,659318;8,151;0,006;V
2,659781;8,131;0,006;V
2,660256;8,15;0,006;V
2,660719;8,143;0,006;V
2,66117;8,161;0,006;V
2,661645;8,142;0,007;V
2,662108;8,147;0,006;V
2,662582;8,153;0,007;V
2,663034;8,155;0,007;V
2,663508;8,149;0,006;V
2,663959;8,125;0,007;V
2,664434;8,161;0,006;V
2,664885;8,142;0,007;V
2,66536;8,176;0,006;V
2,665811;8,133;0,007;V
2,666286;8,127;0,007;V
2,666749;8,139;0,007;V
2,667223;8,153;0,006;V
2,667675;8,131;0,006;V
2,668149;8,15;0,007;V
2,668601;8,086;0,007;V
2,669075;8,193;0,007;V
2,66955;8,127;0,007;V
2,670013;8,176;0,007;V
2,670487;8,169;0,007;V
2,67095;8,104;0,007;V
2,671425;8,145;0,006;V
2,671876;8,124;0,007;V
2,672351;8,155;0,007;V
2,672802;8,152;0,007;V
2,673277;8,135;0,007;V
2,673763;8,166;0,007;V
2,674249;8,16;0,007;V
2,674723;8,147;0,007;V
2,675186;8,194;0,007;V
2,675661;8,147;0,007;V
2,676112;8,101;0,007;V
2,676587;8,134;0,007;V
2,67682;8,173;0,024;V
2,677061;8,104;0,007;V
2,677513;8,173;0,007;V
2,677987;8,14;0,007;V
2,678462;8,136;0,007;V
2,678925;8,132;0,007;V
2,679399;8,091;0,007;V
2,679862;8,148;0,007;V
2,680325;8,15;0,007;V
2,680788;8,145;0,007;V
2,681251;8,184;0,007;V
2,681737;8,145;0,007;V
2,682212;8,15;0,007;V
2,682675;8,149;0,007;V
2,683149;8,158;0,007;V
2,683624;8,186;0,007;V
2,684075;8,168;0,007;V
2,68455;8,155;0,007;V
2,685024;8,131;0,007;V
2,685499;8,148;0,007;V
2,685962;8,131;0,007;V
2,686436;8,17;0,007;V
2,686911;8,134;0,007;V
2,687374;8,154;0,007;V
2,924654;8,158;0,012;V
2,925244;8,151;0,022;V
2,925834;8,132;0,006;V
2,926413;8,141;0,005;V
2,927003;8,149;0,014;V
2,927594;8,159;0,018;V
2,928184;8,156;0,013;V
2,928751;8,155;0,005;V
2,929353;8,163;0,012;V
2,929897;8,148;0,007;V
2,930441;8,16;0,002;V
2,930985;8,15;0,002;V
2,931552;8,164;0,002;V
2,932142;8,159;0,009;V
2,932721;8,16;0,004;V
2,933311;8,153;0,005;V
2,93389;8,171;0,007;V
2,934457;8,168;0,008;V
2,935047;8,163;0,005;V
2,935603;8,167;0,003;V
2,974278;8,337;0,003;V
2,974883;8,318;0,003;V
2,975566;8,307;0,004;V
3,09023;8,206;0,004;V
3,205846;8,336;0,072;V
3,207015;8,323;0,072;V
3,208184;8,446;0,107;V
3,209353;8,388;0,034;V
3,210522;8,27;0,068;V
3,211691;8,308;0,042;V
3,212848;8,341;0,079;V
3,214029;8,314;0,061;V
3,215198;8,349;0,077;V
3,216367;8,295;0,047;V
3,217524;8,394;0,085;V
3,218693;8,369;0,032;V
3,221031;8,314;0,022;V
3,222212;8,364;0,041;V
3,223369;8,356;0,067;V
3,22455;8,307;0,035;V
3,225707;8,358;0,08;V
3,226876;8,395;0,07;V
3,228045;8,337;0,07;V
3,229214;8,349;0,056;V
3,230383;8,356;0,043;V
3,231552;8,391;0,062;V
3,232721;8,363;0,061;V
3,233878;8,374;0,041;V
3,235047;8,38;0,016;V
3,236216;8,395;0,046;V
3,237374;8,367;0,039;V
3,238543;8,375;0,022;V
